id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_cmd_chat_agent","Cmd_chat_agent → List_windows","Cmd_chat_agent → List_windows","cross_community",6,"['comm_11','comm_9','comm_10']","Function:gui_monitor/cli.py:cmd_chat_agent","Function:gui_monitor/core/window.py:list_windows"
"proc_1_cmd_chat_agent","Cmd_chat_agent → _get_vk","Cmd_chat_agent → _get_vk","cross_community",6,"['comm_11','comm_9']","Function:gui_monitor/cli.py:cmd_chat_agent","Function:gui_monitor/core/input.py:_get_vk"
"proc_2_cmd_chat_agent","Cmd_chat_agent → _get_window_title","Cmd_chat_agent → _get_window_title","cross_community",5,"['comm_11','comm_9','comm_12']","Function:gui_monitor/cli.py:cmd_chat_agent","Function:gui_monitor/core/window.py:_get_window_title"
"proc_3_cmd_chat_agent","Cmd_chat_agent → _get_window_rect","Cmd_chat_agent → _get_window_rect","cross_community",5,"['comm_11','comm_9','comm_12']","Function:gui_monitor/cli.py:cmd_chat_agent","Function:gui_monitor/core/window.py:_get_window_rect"
"proc_4_cmd_chat_agent","Cmd_chat_agent → Set_clipboard_text","Cmd_chat_agent → Set_clipboard_text","cross_community",5,"['comm_11','comm_9']","Function:gui_monitor/cli.py:cmd_chat_agent","Function:gui_monitor/utils/clipboard.py:set_clipboard_text"
"proc_5_send_reply","Send_reply → List_windows","Send_reply → List_windows","cross_community",4,"['comm_9','comm_11','comm_10']","Function:gui_monitor/chat_agent.py:send_reply","Function:gui_monitor/core/window.py:list_windows"
"proc_6_send_reply","Send_reply → _get_vk","Send_reply → _get_vk","intra_community",4,"['comm_9']","Function:gui_monitor/chat_agent.py:send_reply","Function:gui_monitor/core/input.py:_get_vk"
"proc_7_cmd_type","Cmd_type → _get_vk","Cmd_type → _get_vk","intra_community",4,"['comm_9']","Function:gui_monitor/cli.py:cmd_type","Function:gui_monitor/core/input.py:_get_vk"
"proc_8_cmd_focus","Cmd_focus → List_windows","Cmd_focus → List_windows","cross_community",4,"['comm_11','comm_10']","Function:gui_monitor/cli.py:cmd_focus","Function:gui_monitor/core/window.py:list_windows"
"proc_9_cmd_window_info","Cmd_window_info → List_windows","Cmd_window_info → List_windows","cross_community",4,"['comm_12','comm_10']","Function:gui_monitor/cli.py:cmd_window_info","Function:gui_monitor/core/window.py:list_windows"
"proc_10_cmd_chat_agent","Cmd_chat_agent → _is_ascii","Cmd_chat_agent → _is_ascii","cross_community",4,"['comm_11','comm_9']","Function:gui_monitor/cli.py:cmd_chat_agent","Function:gui_monitor/chat_agent.py:_is_ascii"
"proc_11_screenshot_chat","Screenshot_chat → List_windows","Screenshot_chat → List_windows","cross_community",4,"['comm_11','comm_10']","Function:gui_monitor/chat_agent.py:screenshot_chat","Function:gui_monitor/core/window.py:list_windows"
"proc_12_callback","Callback → _get_window_title","Callback → _get_window_title","intra_community",3,"['comm_12']","Function:gui_monitor/core/window.py:callback","Function:gui_monitor/core/window.py:_get_window_title"
"proc_13_cmd_screenshot","Cmd_screenshot → List_windows","Cmd_screenshot → List_windows","cross_community",3,"['comm_4','comm_10']","Function:gui_monitor/cli.py:cmd_screenshot","Function:gui_monitor/core/window.py:list_windows"
"proc_14_cmd_screenshot","Cmd_screenshot → Screenshot","Cmd_screenshot → Screenshot","intra_community",3,"['comm_4']","Function:gui_monitor/cli.py:cmd_screenshot","Function:gui_monitor/core/screen.py:screenshot"
"proc_15_do_get","Do_GET → _send_json","Do_GET → _send_json","intra_community",3,"['comm_2']","Method:gui_monitor/server.py:APIHandler.do_GET#0","Method:gui_monitor/server.py:APIHandler._send_json#2"
"proc_16_do_post","Do_POST → _read_body","Do_POST → _read_body","intra_community",3,"['comm_2']","Method:gui_monitor/server.py:APIHandler.do_POST#0","Method:gui_monitor/server.py:APIHandler._read_body#0"
"proc_17_do_post","Do_POST → _send_json","Do_POST → _send_json","intra_community",3,"['comm_2']","Method:gui_monitor/server.py:APIHandler.do_POST#0","Method:gui_monitor/server.py:APIHandler._send_json#2"
"proc_18_cmd_info","Cmd_info → Get_screen_size","Cmd_info → Get_screen_size","intra_community",3,"['comm_3']","Function:gui_monitor/cli.py:cmd_info","Function:gui_monitor/utils/dpi.py:get_screen_size"
"proc_19_move_window","Move_window → List_windows","Move_window → List_windows","cross_community",3,"['comm_12','comm_10']","Function:gui_monitor/core/window.py:move_window","Function:gui_monitor/core/window.py:list_windows"
"proc_20_send_reply","Send_reply → _get_window_title","Send_reply → _get_window_title","cross_community",3,"['comm_9','comm_11','comm_12']","Function:gui_monitor/chat_agent.py:send_reply","Function:gui_monitor/core/window.py:_get_window_title"
"proc_21_send_reply","Send_reply → _get_window_rect","Send_reply → _get_window_rect","cross_community",3,"['comm_9','comm_11','comm_12']","Function:gui_monitor/chat_agent.py:send_reply","Function:gui_monitor/core/window.py:_get_window_rect"
"proc_22_send_reply","Send_reply → Set_clipboard_text","Send_reply → Set_clipboard_text","intra_community",3,"['comm_9']","Function:gui_monitor/chat_agent.py:send_reply","Function:gui_monitor/utils/clipboard.py:set_clipboard_text"
