from,to,type,confidence,reason,step
"Folder:docs","File:docs/USAGE.md","CONTAINS",1,"",0
"Folder:docs","File:docs/PRD.md","CONTAINS",1,"",0
"Folder:gui_monitor","File:gui_monitor/__main__.py","CONTAINS",1,"",0
"Folder:gui_monitor","File:gui_monitor/__init__.py","CONTAINS",1,"",0
"Folder:gui_monitor","File:gui_monitor/server.py","CONTAINS",1,"",0
"Folder:gui_monitor","File:gui_monitor/cli.py","CONTAINS",1,"",0
"Folder:gui_monitor","File:gui_monitor/chat_agent.py","CONTAINS",1,"",0
"Folder:chat_agent_data","Folder:chat_agent_data/workflows","CONTAINS",1,"",0
"Folder:chat_agent_data/workflows","File:chat_agent_data/workflows/workflow_wechat_send_message.yaml","CONTAINS",1,"",0
"Folder:chat_agent_data/workflows","File:chat_agent_data/workflows/workflow_wechat_search_contact.yaml","CONTAINS",1,"",0
"Folder:gui_monitor","Folder:gui_monitor/utils","CONTAINS",1,"",0
"Folder:gui_monitor/utils","File:gui_monitor/utils/__init__.py","CONTAINS",1,"",0
"Folder:gui_monitor/utils","File:gui_monitor/utils/dpi.py","CONTAINS",1,"",0
"Folder:gui_monitor/utils","File:gui_monitor/utils/clipboard.py","CONTAINS",1,"",0
"Folder:gui_monitor","Folder:gui_monitor/core","CONTAINS",1,"",0
"Folder:gui_monitor/core","File:gui_monitor/core/__init__.py","CONTAINS",1,"",0
"Folder:gui_monitor/core","File:gui_monitor/core/window.py","CONTAINS",1,"",0
"Folder:gui_monitor/core","File:gui_monitor/core/screen.py","CONTAINS",1,"",0
"Folder:gui_monitor/core","File:gui_monitor/core/input.py","CONTAINS",1,"",0
"File:README.md","Section:README.md:L1:Nova GUI Monitor","CONTAINS",1,"markdown-heading",0
"Section:README.md:L1:Nova GUI Monitor","Section:README.md:L7:✨ 特性","CONTAINS",1,"markdown-heading",0
"Section:README.md:L1:Nova GUI Monitor","Section:README.md:L16: 安装","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L19:克隆仓库","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L23:安装（推荐虚拟环境）","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L26:带 Chat Agent 支持","CONTAINS",1,"markdown-heading",0
"Section:README.md:L26:带 Chat Agent 支持","Section:README.md:L30: 快速开始","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L33:查看帮助","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L36:屏幕信息","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L39:截图保存","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L42:点击坐标 (500, 300)","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L45:输入中文","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L48:聚焦窗口","CONTAINS",1,"markdown-heading",0
"Section:README.md:L48:聚焦窗口","Section:README.md:L52: 命令参考","CONTAINS",1,"markdown-heading",0
"Section:README.md:L52: 命令参考","Section:README.md:L76:截图示例","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L79:全屏截图","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L82:区域截图（物理坐标 x,y,width,height）","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L85:按窗口标题截图","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L88:输出 Base64（适合 API 调用）","CONTAINS",1,"markdown-heading",0
"Section:README.md:L88:输出 Base64（适合 API 调用）","Section:README.md:L92:鼠标操作","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L95:右键点击","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L98:双击","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L101:平滑移动（0.5 秒缓动）","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L104:拖拽","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L107:滚动（正=上，负=下）","CONTAINS",1,"markdown-heading",0
"Section:README.md:L107:滚动（正=上，负=下）","Section:README.md:L111:键盘操作","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L114:按 Enter","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L117:组合键 Ctrl+C","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L120:输入中文（通过剪贴板粘贴）","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L123:通过拼音输入法","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L126:通过 Unicode SendInput","CONTAINS",1,"markdown-heading",0
"Section:README.md:L126:通过 Unicode SendInput","Section:README.md:L130:窗口管理","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L133:列出所有窗口","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L136:JSON 格式输出","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L139:聚焦窗口（模糊匹配标题）","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L142:获取窗口信息","CONTAINS",1,"markdown-heading",0
"Section:README.md:L142:获取窗口信息","Section:README.md:L146: HTTP API","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L149:启动 API 服务","CONTAINS",1,"markdown-heading",0
"Section:README.md:L149:启动 API 服务","Section:README.md:L164: Chat Agent（实验性）","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L169:设置 API Key","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L172:审核模式（推荐）— 每条回复需确认","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L175:通知模式 — 仅提醒，不回复","CONTAINS",1,"markdown-heading",0
"File:README.md","Section:README.md:L178:自动模式 — 完全自动回复（谨慎使用）","CONTAINS",1,"markdown-heading",0
"Section:README.md:L178:自动模式 — 完全自动回复（谨慎使用）","Section:README.md:L182:⚙️ 系统要求","CONTAINS",1,"markdown-heading",0
"Section:README.md:L178:自动模式 — 完全自动回复（谨慎使用）","Section:README.md:L188: License","CONTAINS",1,"markdown-heading",0
"File:docs/USAGE.md","Section:docs/USAGE.md:L1:GUI Monitor v2 — Claude Code / AI Agent 使用说明","CONTAINS",1,"markdown-heading",0
"Section:docs/USAGE.md:L1:GUI Monitor v2 — Claude Code / AI Agent 使用说明","Section:docs/USAGE.md:L7:快速开始","CONTAINS",1,"markdown-heading",0
"File:docs/USAGE.md","Section:docs/USAGE.md:L12:查看帮助","CONTAINS",1,"markdown-heading",0
"File:docs/USAGE.md","Section:docs/USAGE.md:L15:查看屏幕信息","CONTAINS",1,"markdown-heading",0
"File:docs/USAGE.md","Section:docs/USAGE.md:L18:截图","CONTAINS",1,"markdown-heading",0
"Section:docs/USAGE.md:L18:截图","Section:docs/USAGE.md:L22:所有命令","CONTAINS",1,"markdown-heading",0
"Section:docs/USAGE.md:L22:所有命令","Section:docs/USAGE.md:L24:截图","CONTAINS",1,"markdown-heading",0
"File:docs/USAGE.md","Section:docs/USAGE.md:L27:全屏截图","CONTAINS",1,"markdown-heading",0
"File:docs/USAGE.md","Section:docs/USAGE.md:L30:区域截图（物理坐标 x,y,width,height）","CONTAINS",1,"markdown-heading",0
"File:docs/USAGE.md","Section:docs/USAGE.md:L33:按窗口标题截图","CONTAINS",1,"markdown-heading",0
"File:docs/USAGE.md","Section:docs/USAGE.md:L36:输出 Base64（适合 API 调用）","CONTAINS",1,"markdown-heading",0
